,mean_calls,mean_interval,mean_peakfreq,mean_bandw,mean_centroid,min_freq,max_freq,PLAND_gs,MPS_edge,MPS_gallery,site_code,period,ISR,LAI_understory,mean_crown_ratio,local_clustering,height_range,dist1,dist2
28,26.5,0.401330047,4715.766587,1893.73091,4729.242481,1200,8400,0,0,0,SZW2,T2_mid,74.7596,0.477902881,0.599136547,0.36251969,21.131,300.800762,756.9046363
29,13.5,0.56382681,4317.697344,1939.113784,4445.99305,800,9800,0,0,0,SZW2,T3_late,74.7596,0.477902881,0.599136547,0.36251969,21.131,300.800762,756.9046363
30,40.06923077,0.455005755,3310.921275,2104.503212,3681.460322,800,10100,68.8323,1.5879,0.387,TLJ,T1_early,15.312,0.322602557,0.391157646,0.419782119,20.627,284.5381871,189.225406
31,40.875,0.431764781,3675.565675,2099.458443,3932.659617,800,9800,68.8323,1.5879,0.387,TLJ,T2_mid,15.312,0.322602557,0.391157646,0.419782119,20.627,284.5381871,189.225406
32,24.38095238,0.493369218,3777.256019,2207.683604,3954.677361,800,9600,68.8323,1.5879,0.387,TLJ,T3_late,15.312,0.322602557,0.391157646,0.419782119,20.627,284.5381871,189.225406
33,20.73333333,0.422683483,3450.775958,1812.606264,3754.576597,800,9400,51.8582,2.0373,0.3214,TLS,T1_early,36.2493,0.341923786,0.436436992,0.414495988,17.662,493.9752144,530.5613103
34,15.45454545,0.439046905,4239.789027,2023.734581,4461.560717,1200,9400,51.8582,2.0373,0.3214,TLS,T2_mid,36.2493,0.341923786,0.436436992,0.414495988,17.662,493.9752144,530.5613103
35,23.6969697,0.416516117,3692.923251,1972.924763,4030.083138,800,10500,51.8582,2.0373,0.3214,TLS,T3_late,36.2493,0.341923786,0.436436992,0.414495988,17.662,493.9752144,530.5613103
36,17.46428571,0.566101425,4017.057978,2459.485636,4290.382888,800,9800,25.2647,3.0857,0.33,TZS,T1_early,61.8312,0.434173481,0.406006686,0.443614886,21.343,510.1291417,541.3008063
37,32.19512195,0.398438759,3633.71555,2250.652723,4025.062558,800,9600,25.2647,3.0857,0.33,TZS,T2_mid,61.8312,0.434173481,0.406006686,0.443614886,21.343,510.1291417,541.3008063
38,18.95652174,0.4722689,3874.698778,2260.877341,4157.275287,600,9300,25.2647,3.0857,0.33,TZS,T3_late,61.8312,0.434173481,0.406006686,0.443614886,21.343,510.1291417,541.3008063
