"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label","base_time","car_driving","frog","insect","car_horn","bird","human_voice","human_knocking","rain","music","site","low_freq_strength","mid_high_freq_strength","low_mid_high_freq_strength","constant_strength","pulse_strength","structural_strength","hour","minute","time_decimal"
"17","BJS",2024-05-06,"T1_early","0630",1,12,0.323090909090909,2883.33333333333,2483.33333333333,3500,1000,6300,"BJS_20240506_0630","BJS_20240506_063000",60,0,60,0,10.952,0,12.64,0,0,"BJS",0.333333333333333,0.591266666666667,0.0526666666666667,0.666666666666667,0.0702222222222222,0.0608444444444445,6,30,6.5
"18","BJS",2024-05-06,"T1_early","1100",1,12,0.260818181818182,1983.33333333333,3158.33333333333,3475,1000,8600,"BJS_20240506_1100","BJS_20240506_110000",60,0,60,0,10.764,0.32,0.448,0,20,"BJS",0.446222222222222,0.5897,0.00186666666666667,0.666666666666667,0.00248888888888889,0.172688888888889,11,0,11
"19","BJS",2024-05-06,"T1_early","1210",15,149,0.36694542524962,5002.68456375839,2007.38255033557,4669.12751677852,800,7900,"BJS_20240506_1210","BJS_20240506_121000",60,0.767999999999999,60,0,0.518,0,1.664,0,0,"BJS",0.333333333333333,0.504316666666667,0.0101333333333333,0.666666666666667,0.0135111111111111,0.00287777777777778,12,10,12.1666666666667
"20","BJS",2024-05-06,"T1_early","1240",1,4,1.06833333333333,3050,2925,4225,1200,6200,"BJS_20240506_1240","BJS_20240506_124000",60,0,60,0,7.648,0,0.256,0,0,"BJS",0.333333333333333,0.563733333333333,0.00106666666666667,0.666666666666667,0.00142222222222222,0.0424888888888889,12,40,12.6666666666667
"21","BJS",2024-05-06,"T1_early","1310",1,4,0.7,4400,2025,4425,1000,7500,"BJS_20240506_1310","BJS_20240506_131000",60,0,60,0,36.271,0,0,0,0,"BJS",0.333333333333333,0.802258333333333,0,0.666666666666667,0,0.201505555555556,13,10,13.1666666666667
"22","BJS",2024-05-07,"T1_early","0630",5,31,0.533917434715822,3709.67741935484,2290.32258064516,4093.54838709677,800,9100,"BJS_20240507_0630","BJS_20240507_063000",60,0,60,0,13.493,0,0,0,0,"BJS",0.333333333333333,0.612441666666667,0,0.666666666666667,0,0.0749611111111111,6,30,6.5
"23","BJS",2024-05-07,"T1_early","0750",14,119,0.380352204215019,4140.33613445378,1883.19327731092,4110.08403361345,800,7700,"BJS_20240507_0750","BJS_20240507_075000",60,0,60,0,9.33,0,0,0,0,"BJS",0.333333333333333,0.57775,0,0.666666666666667,0,0.0518333333333333,7,50,7.83333333333333
"24","BJS",2024-05-07,"T1_early","0820",8,78,0.384578740881626,3516.66666666667,2226.92307692308,3944.8717948718,1000,8700,"BJS_20240507_0820","BJS_20240507_082000",40.4,0,60,0,1.588,0,0,0,0,"BJS",0.224444444444444,0.513233333333333,0,0.557777777777778,0,0.00882222222222222,8,20,8.33333333333333
"25","BJS",2024-05-07,"T1_early","0950",2,29,0.304453012504737,3717.24137931034,1775.86206896552,3675.86206896552,800,5800,"BJS_20240507_0950","BJS_20240507_095000",60,0,60,0,44.115,0.256,1.728,0,0,"BJS",0.334755555555556,0.867625,0.00719999999999999,0.666666666666667,0.00959999999999999,0.246505555555556,9,50,9.83333333333333
"26","BJS",2024-05-07,"T1_early","1200",4,23,0.511299689440994,2847.82608695652,2582.60869565217,3639.13043478261,800,8700,"BJS_20240507_1200","BJS_20240507_120000",60,0,60,0,7.022,0,0,0,0,"BJS",0.333333333333333,0.558516666666667,0,0.666666666666667,0,0.0390111111111111,12,0,12
